App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time
Amazon Shopping,2019-07-05,7.0,104.0,7:58:23,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-06,3.0,96.0,4:01:14,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-12,7.0,65.0,4:24:32,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-13,3.0,76.0,3:54:05,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-15,7.0,90.0,7:53:29,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-16,7.0,71.0,5:36:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-17,5.0,58.0,5:19:17,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-18,21.0,64.0,6:48:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-20,5.0,110.0,7:46:52,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-21,4.0,64.0,5:48:20,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-22,6.0,82.0,4:54:36,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-24,8.0,65.0,5:22:45,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-26,6.0,63.0,5:47:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-30,1.0,66.0,5:32:03,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-31,4.0,70.0,4:25:26,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-03,1.0,63.0,9:30:01,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-05,24.0,73.0,4:02:18,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-06,5.0,67.0,4:29:27,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-07,4.0,83.0,3:42:42,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-08,17.0,65.0,5:13:35,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-09,8.0,79.0,4:39:07,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-10,1.0,69.0,3:06:10,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-11,10.0,81.0,4:35:58,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-13,2.0,80.0,5:46:56,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-14,9.0,91.0,5:39:46,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-15,8.0,83.0,6:43:34,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-16,2.0,83.0,5:54:50,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-17,1.0,61.0,9:24:33,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-20,4.0,69.0,6:10:46,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-21,1.0,92.0,6:03:01,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-22,8.0,158.0,5:58:09,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-24,7.0,107.0,4:10:35,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-25,7.0,114.0,4:36:27,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-26,6.0,93.0,5:47:29,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-27,7.0,60.0,4:49:13,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-29,1.0,58.0,3:56:34,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-02,11.0,70.0,7:21:15,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-03,2.0,79.0,6:04:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-04,6.0,55.0,5:16:44,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-05,2.0,79.0,6:33:23,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-09,1.0,81.0,6:15:44,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-15,9.0,68.0,5:17:22,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-17,3.0,81.0,6:35:45,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-18,1.0,100.0,4:55:35,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-20,2.0,81.0,4:35:56,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-21,3.0,53.0,7:09:46,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-23,7.0,83.0,3:43:51,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-24,2.0,70.0,5:24:17,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-25,2.0,70.0,4:47:48,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-26,14.0,103.0,6:03:26,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-28,2.0,63.0,6:04:37,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-29,9.0,100.0,5:24:17,11:46:29,526.0,0:1:20
Amazon Shopping,2019-09-30,3.0,63.0,5:12:23,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-01,6.0,68.0,6:18:51,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-02,13.0,80.0,8:09:54,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-03,9.0,77.0,7:37:37,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-04,4.0,90.0,4:28:53,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-07,6.0,68.0,5:32:04,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-09,2.0,60.0,6:45:04,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-11,2.0,74.0,7:11:46,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-12,1.0,59.0,7:25:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-13,1.0,57.0,6:56:10,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-14,7.0,57.0,5:32:11,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-15,9.0,63.0,6:03:32,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-16,2.0,79.0,8:01:33,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-17,2.0,84.0,7:00:45,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-18,8.0,101.0,2:39:48,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-21,13.0,108.0,4:29:40,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-25,3.0,65.0,6:03:20,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-26,12.0,72.0,5:13:11,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-27,4.0,83.0,4:45:04,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-28,3.0,85.0,3:28:33,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-29,14.0,81.0,5:37:58,11:46:29,526.0,0:1:20
Amazon Shopping,2019-10-30,5.0,71.0,4:34:26,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-01,1.0,84.0,5:52:14,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-04,2.0,78.0,5:23:14,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-05,2.0,65.0,6:23:36,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-08,10.0,79.0,6:13:26,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-11,2.0,78.0,5:56:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-13,3.0,76.0,5:05:49,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-15,3.0,76.0,3:55:27,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-17,2.0,87.0,3:31:52,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-18,1.0,63.0,4:40:07,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-23,5.0,66.0,5:52:24,11:46:29,526.0,0:1:20
Amazon Shopping,2019-11-24,3.0,68.0,5:07:07,11:46:29,526.0,0:1:20
Audible,2019-09-28,4.0,63.0,6:04:37,0:31:41,63.0,0:0:30
Audible,2019-09-29,2.0,100.0,5:24:17,0:31:41,63.0,0:0:30
Audible,2019-10-04,1.0,90.0,4:28:53,0:31:41,63.0,0:0:30
Audible,2019-10-07,1.0,68.0,5:32:04,0:31:41,63.0,0:0:30
Audible,2019-10-15,1.0,63.0,6:03:32,0:31:41,63.0,0:0:30
Audible,2019-11-17,6.0,87.0,3:31:52,0:31:41,63.0,0:0:30
B612,2019-06-09,1.0,66.0,7:11:13,,,
BOMBitUP,2019-06-12,2.0,72.0,6:10:34,,,
BlaBlaCar,2019-08-09,13.0,79.0,4:39:07,0:22:53,11.0,0:2:04
BlaBlaCar,2019-08-12,5.0,53.0,5:26:19,0:22:53,11.0,0:2:04
BlaBlaCar,2019-08-15,2.0,83.0,6:43:34,0:22:53,11.0,0:2:04
BlaBlaCar,2019-08-21,2.0,92.0,6:03:01,0:22:53,11.0,0:2:04
BookMyShow,2019-06-08,12.0,80.0,6:10:35,0:17:42,20.0,0:0:53
Calculator,2019-07-03,3.0,74.0,8:40:21,0:33:31,57.0,0:0:35
Calculator,2019-07-06,1.0,96.0,4:01:14,0:33:31,57.0,0:0:35
Calculator,2019-07-12,1.0,65.0,4:24:32,0:33:31,57.0,0:0:35
Calculator,2019-09-22,1.0,74.0,4:54:27,0:33:31,57.0,0:0:35
Calculator,2019-10-21,5.0,108.0,4:29:40,0:33:31,57.0,0:0:35
Calculator,2019-11-14,3.0,70.0,5:34:35,0:33:31,57.0,0:0:35
Calendar,2019-06-14,1.0,68.0,6:28:35,,,
Calendar,2019-06-19,2.0,52.0,6:39:43,,,
Calendar,2019-06-30,1.0,69.0,7:17:21,,,
Calendar,2019-07-01,2.0,76.0,6:15:09,,,
Calendar,2019-08-26,2.0,93.0,5:47:29,,,
Calendar,2019-08-31,1.0,90.0,6:53:43,,,
Calendar,2019-10-03,1.0,77.0,7:37:37,,,
Calendar,2019-11-01,1.0,84.0,5:52:14,,,
Call of Duty,2019-05-17,5.0,33.0,2:51:12,85:25:57,545.0,0:9:24
Call of Duty,2019-05-18,36.0,68.0,4:37:25,85:25:57,545.0,0:9:24
Call of Duty,2019-05-19,85.0,80.0,5:27:18,85:25:57,545.0,0:9:24
Call of Duty,2019-05-20,2.0,34.0,3:17:24,85:25:57,545.0,0:9:24
Call of Duty,2019-05-22,124.0,78.0,7:31:39,85:25:57,545.0,0:9:24
Call of Duty,2019-05-23,43.0,49.0,5:56:30,85:25:57,545.0,0:9:24
Call of Duty,2019-05-24,159.0,70.0,7:44:25,85:25:57,545.0,0:9:24
Call of Duty,2019-05-25,52.0,58.0,3:34:42,85:25:57,545.0,0:9:24
Call of Duty,2019-05-26,134.0,52.0,6:55:16,85:25:57,545.0,0:9:24
Call of Duty,2019-05-27,132.0,68.0,6:14:55,85:25:57,545.0,0:9:24
Call of Duty,2019-05-28,94.0,64.0,5:18:12,85:25:57,545.0,0:9:24
Call of Duty,2019-05-29,71.0,63.0,6:04:37,85:25:57,545.0,0:9:24
Call of Duty,2019-05-30,172.0,68.0,8:37:01,85:25:57,545.0,0:9:24
Call of Duty,2019-05-31,126.0,79.0,5:37:58,85:25:57,545.0,0:9:24
Call of Duty,2019-06-01,85.0,73.0,5:33:07,85:25:57,545.0,0:9:24
Call of Duty,2019-06-02,133.0,53.0,5:12:32,85:25:57,545.0,0:9:24
Call of Duty,2019-06-03,65.0,82.0,4:34:45,85:25:57,545.0,0:9:24
Call of Duty,2019-06-04,62.0,75.0,5:07:30,85:25:57,545.0,0:9:24
Call of Duty,2019-06-05,120.0,45.0,7:04:15,85:25:57,545.0,0:9:24
Call of Duty,2019-06-06,6.0,55.0,6:30:48,85:25:57,545.0,0:9:24
Call of Duty,2019-06-07,1.0,69.0,5:33:33,85:25:57,545.0,0:9:24
Call of Duty,2019-06-11,10.0,78.0,5:18:00,85:25:57,545.0,0:9:24
Call of Duty,2019-06-12,2.0,72.0,6:10:34,85:25:57,545.0,0:9:24
Call of Duty,2019-06-19,75.0,52.0,6:39:43,85:25:57,545.0,0:9:24
Call of Duty,2019-06-21,53.0,61.0,4:51:40,85:25:57,545.0,0:9:24
Call of Duty,2019-06-22,53.0,80.0,7:17:22,85:25:57,545.0,0:9:24
Call of Duty,2019-06-23,50.0,74.0,6:38:16,85:25:57,545.0,0:9:24
Call of Duty,2019-06-24,25.0,37.0,4:58:25,85:25:57,545.0,0:9:24
Call of Duty,2019-06-25,34.0,59.0,6:03:45,85:25:57,545.0,0:9:24
Call of Duty,2019-06-26,38.0,75.0,6:15:42,85:25:57,545.0,0:9:24
Call of Duty,2019-06-27,17.0,56.0,7:51:13,85:25:57,545.0,0:9:24
Call of Duty,2019-06-29,61.0,70.0,7:28:32,85:25:57,545.0,0:9:24
Call of Duty,2019-07-02,40.0,83.0,6:15:16,85:25:57,545.0,0:9:24
Call of Duty,2019-07-03,1.0,74.0,8:40:21,85:25:57,545.0,0:9:24
Call of Duty,2019-07-06,4.0,96.0,4:01:14,85:25:57,545.0,0:9:24
Call of Duty,2019-07-07,2.0,98.0,4:11:54,85:25:57,545.0,0:9:24
Call of Duty,2019-07-18,23.0,64.0,6:48:43,85:25:57,545.0,0:9:24
Call of Duty,2019-07-27,1.0,64.0,3:49:00,85:25:57,545.0,0:9:24
Call of Duty,2019-08-10,32.0,69.0,3:06:10,85:25:57,545.0,0:9:24
Call of Duty,2019-08-11,31.0,81.0,4:35:58,85:25:57,545.0,0:9:24
Call of Duty,2019-08-16,2.0,83.0,5:54:50,85:25:57,545.0,0:9:24
Call of Duty,2019-08-17,1.0,61.0,9:24:33,85:25:57,545.0,0:9:24
Call of Duty,2019-08-18,1.0,62.0,7:35:19,85:25:57,545.0,0:9:24
Call of Duty,2019-08-22,12.0,158.0,5:58:09,85:25:57,545.0,0:9:24
Call of Duty,2019-08-23,11.0,77.0,6:07:13,85:25:57,545.0,0:9:24
Call of Duty,2019-08-24,9.0,107.0,4:10:35,85:25:57,545.0,0:9:24
Call of Duty,2019-09-21,18.0,53.0,7:09:46,85:25:57,545.0,0:9:24
Call of Duty,2019-09-28,1.0,63.0,6:04:37,85:25:57,545.0,0:9:24
Call of Duty,2019-09-29,3.0,100.0,5:24:17,85:25:57,545.0,0:9:24
Call of Duty,2019-10-01,15.0,68.0,6:18:51,85:25:57,545.0,0:9:24
Call of Duty,2019-10-02,50.0,80.0,8:09:54,85:25:57,545.0,0:9:24
Call of Duty,2019-10-03,27.0,77.0,7:37:37,85:25:57,545.0,0:9:24
Call of Duty,2019-10-05,151.0,59.0,5:56:27,85:25:57,545.0,0:9:24
Call of Duty,2019-10-06,148.0,70.0,7:21:44,85:25:57,545.0,0:9:24
Call of Duty,2019-10-07,157.0,68.0,5:32:04,85:25:57,545.0,0:9:24
Call of Duty,2019-10-08,77.0,68.0,5:36:21,85:25:57,545.0,0:9:24
Call of Duty,2019-10-09,49.0,60.0,6:45:04,85:25:57,545.0,0:9:24
Call of Duty,2019-10-10,23.0,79.0,5:39:44,85:25:57,545.0,0:9:24
Call of Duty,2019-10-11,59.0,74.0,7:11:46,85:25:57,545.0,0:9:24
Call of Duty,2019-10-12,94.0,59.0,7:25:16,85:25:57,545.0,0:9:24
Call of Duty,2019-10-13,54.0,57.0,6:56:10,85:25:57,545.0,0:9:24
Call of Duty,2019-10-14,38.0,57.0,5:32:11,85:25:57,545.0,0:9:24
Call of Duty,2019-10-15,43.0,63.0,6:03:32,85:25:57,545.0,0:9:24
Call of Duty,2019-10-16,108.0,79.0,8:01:33,85:25:57,545.0,0:9:24
Call of Duty,2019-10-17,74.0,84.0,7:00:45,85:25:57,545.0,0:9:24
Call of Duty,2019-10-21,54.0,108.0,4:29:40,85:25:57,545.0,0:9:24
Call of Duty,2019-10-22,13.0,54.0,3:27:35,85:25:57,545.0,0:9:24
Call of Duty,2019-10-23,100.0,88.0,5:08:04,85:25:57,545.0,0:9:24
Call of Duty,2019-10-24,104.0,91.0,7:37:49,85:25:57,545.0,0:9:24
Call of Duty,2019-10-25,153.0,65.0,6:03:20,85:25:57,545.0,0:9:24
Call of Duty,2019-10-26,52.0,72.0,5:13:11,85:25:57,545.0,0:9:24
Call of Duty,2019-10-27,47.0,83.0,4:45:04,85:25:57,545.0,0:9:24
Call of Duty,2019-10-28,17.0,85.0,3:28:33,85:25:57,545.0,0:9:24
