App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time,User_Engagement_Level
Amazon Kindle,2019-11-20,8.0,53.0,0 days 03:57:31,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-11-22,3.0,60.0,0 days 04:07:32,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Shopping,2019-05-18,11.0,68.0,0 days 04:37:25,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-05-28,3.0,64.0,0 days 05:18:12,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-05-30,3.0,68.0,0 days 08:37:01,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-06-11,3.0,78.0,0 days 05:18:00,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-15,6.0,71.0,0 days 05:08:02,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-16,7.0,105.0,0 days 04:54:08,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-19,9.0,52.0,0 days 06:39:43,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-06-20,3.0,64.0,0 days 04:37:30,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-22,2.0,80.0,0 days 07:17:22,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-06-23,2.0,74.0,0 days 06:38:16,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-06-24,1.0,37.0,0 days 04:58:25,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-25,12.0,59.0,0 days 06:03:45,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-26,2.0,75.0,0 days 06:15:42,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-27,1.0,56.0,0 days 07:51:13,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-06-28,1.0,60.0,0 days 04:02:33,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-06-29,7.0,70.0,0 days 07:28:32,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-01,3.0,76.0,0 days 06:15:09,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-02,3.0,83.0,0 days 06:15:16,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-03,18.0,74.0,0 days 08:40:21,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-04,1.0,36.0,0 days 03:35:33,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-05,7.0,104.0,0 days 07:58:23,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-06,3.0,96.0,0 days 04:01:14,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-12,7.0,65.0,0 days 04:24:32,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-13,3.0,76.0,0 days 03:54:05,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-15,7.0,90.0,0 days 07:53:29,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-16,7.0,71.0,0 days 05:36:16,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-17,5.0,58.0,0 days 05:19:17,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-18,21.0,64.0,0 days 06:48:43,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-20,5.0,110.0,0 days 07:46:52,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-07-21,4.0,64.0,0 days 05:48:20,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-22,6.0,82.0,0 days 04:54:36,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-24,8.0,65.0,0 days 05:22:45,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-26,6.0,63.0,0 days 05:47:43,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-30,1.0,66.0,0 days 05:32:03,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-07-31,4.0,70.0,0 days 04:25:26,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-03,1.0,63.0,0 days 09:30:01,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-08-05,24.0,73.0,0 days 04:02:18,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-06,5.0,67.0,0 days 04:29:27,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-07,4.0,83.0,0 days 03:42:42,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-08,17.0,65.0,0 days 05:13:35,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-09,8.0,79.0,0 days 04:39:07,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-10,1.0,69.0,0 days 03:06:10,11:46:29,526.0,0:1:20,Low Engaged
Amazon Shopping,2019-08-11,10.0,81.0,0 days 04:35:58,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-13,2.0,80.0,0 days 05:46:56,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-14,9.0,91.0,0 days 05:39:46,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-15,8.0,83.0,0 days 06:43:34,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-08-16,2.0,83.0,0 days 05:54:50,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-17,1.0,61.0,0 days 09:24:33,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-08-20,4.0,69.0,0 days 06:10:46,11:46:29,526.0,0:1:20,Moderately Engaged
