App name,Date,Duration
Drive,2019-08-17,2.0
Drive,2019-09-03,1.0
Drive,2019-09-25,8.0
Drive,2019-10-03,1.0
Drive,2019-10-10,2.0
Drive,2019-10-28,2.0
Drive,2019-11-08,12.0
Drive,2019-11-11,35.0
Drive,2019-11-12,9.0
Drive,2019-11-13,5.0
Drive,2019-11-14,10.0
Duolingo,2019-06-06,3.0
Duolingo,2019-10-10,11.0
Duolingo,2019-10-12,11.0
Duolingo,2019-10-14,14.0
Duolingo,2019-10-15,17.0
Duolingo,2019-10-16,16.0
Duolingo,2019-10-17,20.0
Duolingo,2019-10-24,16.0
Duolingo,2019-10-25,13.0
Duolingo,2019-10-26,7.0
Duolingo,2019-10-27,3.0
Duolingo,2019-10-28,12.0
Duolingo,2019-10-29,17.0
Duolingo,2019-10-30,13.0
Duolingo,2019-10-31,29.0
Duolingo,2019-11-01,14.0
Duolingo,2019-11-02,7.0
Duolingo,2019-11-03,9.0
Duolingo,2019-11-04,2.0
Duolingo,2019-11-05,6.0
Duolingo,2019-11-06,3.0
Duolingo,2019-11-07,4.0
Duolingo,2019-11-08,24.0
Duolingo,2019-11-09,3.0
Duolingo,2019-11-10,15.0
Duolingo,2019-11-11,6.0
Duolingo,2019-11-12,3.0
Duolingo,2019-11-13,5.0
Duolingo,2019-11-14,14.0
Duolingo,2019-11-15,3.0
Duolingo,2019-11-16,2.0
Duolingo,2019-11-18,6.0
Duolingo,2019-11-19,19.0
Duolingo,2019-11-20,8.0
Duolingo,2019-11-21,28.0
Duolingo,2019-11-22,7.0
Duolingo,2019-11-23,9.0
Duolingo,2019-11-24,8.0
Duolingo,2019-11-25,11.0
Duolingo,2019-11-26,4.0
English Templates,2019-06-24,9.0
Evernote,2019-06-07,2.0
Evernote,2019-07-01,11.0
Evernote,2019-09-21,2.0
Flipkart,2019-08-16,6.0
Flipkart,2019-08-17,14.0
Flipkart,2019-08-19,5.0
Flipkart,2019-08-20,11.0
Flipkart,2019-08-21,20.0
Flipkart,2019-09-20,7.0
Flipkart,2019-09-24,22.0
Flipkart,2019-09-25,3.0
Flipkart,2019-09-26,6.0
